test_type,max,size,time
Semi-Random,150000000,150000000,3.418
Semi-Random,148500000,148500000,3.296
Semi-Random,147000000,147000000,3.254
Semi-Random,145500000,145500000,3.214
Semi-Random,144000000,144000000,3.186
Semi-Random,142500000,142500000,3.177
Semi-Random,141000000,141000000,3.106
Semi-Random,139500000,139500000,3.042
Semi-Random,138000000,138000000,3.01
Semi-Random,136500000,136500000,2.993
Semi-Random,135000000,135000000,2.997
Semi-Random,133500000,133500000,2.903
Semi-Random,132000000,132000000,2.881
Semi-Random,130500000,130500000,2.907
Semi-Random,129000000,129000000,2.82
Semi-Random,127500000,127500000,2.843
Semi-Random,126000000,126000000,2.736
Semi-Random,124500000,124500000,2.741
Semi-Random,123000000,123000000,2.681
Semi-Random,121500000,121500000,2.677
Semi-Random,120000000,120000000,2.62
Semi-Random,118500000,118500000,2.616
Semi-Random,117000000,117000000,2.6
Semi-Random,115500000,115500000,2.563
Semi-Random,114000000,114000000,2.515
Semi-Random,112500000,112500000,2.509
Semi-Random,111000000,111000000,2.43
Semi-Random,109500000,109500000,2.409
Semi-Random,108000000,108000000,2.411
Semi-Random,106500000,106500000,2.39
Semi-Random,105000000,105000000,2.417
Semi-Random,103500000,103500000,2.335
Semi-Random,102000000,102000000,2.306
Semi-Random,100500000,100500000,2.213
Semi-Random,99000000,99000000,2.157
Semi-Random,97500000,97500000,2.174
Semi-Random,96000000,96000000,2.311
Semi-Random,94500000,94500000,2.059
Semi-Random,93000000,93000000,2.057
Semi-Random,91500000,91500000,2.017
Semi-Random,90000000,90000000,1.976
Semi-Random,88500000,88500000,1.938
Semi-Random,87000000,87000000,1.897
Semi-Random,85500000,85500000,1.872
Semi-Random,84000000,84000000,1.844
Semi-Random,82500000,82500000,1.826
Semi-Random,81000000,81000000,1.795
Semi-Random,79500000,79500000,1.758
Semi-Random,78000000,78000000,1.715
Semi-Random,76500000,76500000,1.683
Semi-Random,75000000,75000000,1.668
Semi-Random,73500000,73500000,1.641
Semi-Random,72000000,72000000,1.593
Semi-Random,70500000,70500000,1.523
Semi-Random,69000000,69000000,1.522
Semi-Random,67500000,67500000,1.475
Semi-Random,66000000,66000000,1.486
Semi-Random,64500000,64500000,1.41
Semi-Random,63000000,63000000,1.422
Semi-Random,61500000,61500000,1.343
Semi-Random,60000000,60000000,1.331
Semi-Random,58500000,58500000,1.312
Semi-Random,57000000,57000000,1.26
Semi-Random,55500000,55500000,1.227
Semi-Random,54000000,54000000,1.231
Semi-Random,52500000,52500000,1.167
Semi-Random,51000000,51000000,1.122
Semi-Random,49500000,49500000,1.127
Semi-Random,48000000,48000000,1.047
Semi-Random,46500000,46500000,1.045
Semi-Random,45000000,45000000,1.014
Semi-Random,43500000,43500000,0.984
Semi-Random,42000000,42000000,0.939
Semi-Random,40500000,40500000,0.919
Semi-Random,39000000,39000000,0.885
Semi-Random,37500000,37500000,0.834
Semi-Random,36000000,36000000,0.796
Semi-Random,34500000,34500000,0.773
Semi-Random,33000000,33000000,0.746
Semi-Random,31500000,31500000,0.703
Semi-Random,30000000,30000000,0.659
Semi-Random,28500000,28500000,0.621
Semi-Random,27000000,27000000,0.604
Semi-Random,25500000,25500000,0.565
Semi-Random,24000000,24000000,0.521
Semi-Random,22500000,22500000,0.51
Semi-Random,21000000,21000000,0.482
Semi-Random,19500000,19500000,0.429
Semi-Random,18000000,18000000,0.436
Semi-Random,16500000,16500000,0.366
Semi-Random,15000000,15000000,0.35
Semi-Random,13500000,13500000,0.299
Semi-Random,12000000,12000000,0.268
Semi-Random,10500000,10500000,0.231
Semi-Random,9000000,9000000,0.204
Semi-Random,7500000,7500000,0.164
Semi-Random,6000000,6000000,0.134
Semi-Random,4500000,4500000,0.098
Semi-Random,3000000,3000000,0.065
Semi-Random,1500000,1500000,0.035
